instrument_q,variable,description,universe,question,question_clean,range,description_recode,order,question_type,topic_area,universe_recode,type_of_variable,multi_index_cols,stacked_crosstab_features,stacked_question_features,select_all_that_apply,level_p_or_h
5,EEDUC,Educational attainment,All persons born before 2002,What is the highest degree or level of school you have completed? Select only one answer.,What is the highest degree or level of school you have completed?,1:07,Educational attainment,19,Multiple Choice,Demographic,TBIRTH_YEAR < 2002,QUESTION,0,1,0,0,person
6,MS,Marital status,All persons born before 2002,What is your marital status? Select only one answer.,What is your marital status?,1:05,Marital status,20,Multiple Choice,Demographic,TBIRTH_YEAR < 2002,QUESTION,0,1,0,0,person
7,THHLD_NUMPER,Total number of people in household,All persons born before 2002,"How many total people – adults and children– currently live in your household, including yourself? Please enter a number.","How many total people – adults and children – currently live in your household, including yourself?",1:40,Total number of people in household,21,Input Value,Demographic,TBIRTH_YEAR < 2002,NUMERIC,0,0,0,0,household
8,THHLD_NUMKID,Total number of people under 18-years-old in household,All persons born before 2002,How many people under 18 years-old currently live inyour household? Pleaseenter a number.,How many people under 18 years-old currently live in your household?,0:40,Total number of people under 18-years-old in household,22,Input Value,Demographic,TBIRTH_YEAR < 2002,NUMERIC,0,0,0,0,household
Recode of 7 and 8,THHLD_NUMADLT,Recode for the number of Adults in the household,All persons born before 2002,<Recode for the number of Adults in the household>,How many people under 18 years-old currently live in your household?,1:40,Number of adults in the household,23,Input Value,Demographic,TBIRTH_YEAR < 2002,NUMERIC,0,0,0,0,household
9,WRKLOSS,Recent household job loss,All persons born before 2002,"Have you, or has anyone in your household experienced a loss of employment income since March 13, 2020?  Select only one answer.","Have you, or has anyone in your household experienced a loss of employment income since March 13, 2020?",1:02,"Household experienced a loss of income since March 13, 2020",24,Binary Outcome,Employment,TBIRTH_YEAR < 2002,QUESTION,0,0,0,0,household
10,EXPCTLOSS,Expected household job loss,All persons born before 2002,Do you expect that you or anyone in your household will experience a loss of employment income in the next 4 weeks because of the coronavirus pandemic?  Select only one answer.,Do you expect that you or anyone in your household will experience a loss of employment income in the next 4 weeks because of the coronavirus pandemic?,"1,2",Expect loss of household income in the next 4 weeks because of the pandemic,25,Binary Outcome,Employment,TBIRTH_YEAR < 2002,QUESTION,0,0,0,0,household
11,ANYWORK,Employment status for last 7 days,All persons born before 2002,"Now we are going to ask about your employment. In the last 7 days, did you do ANY work for either pay or profit? Select only one answer.","In the last 7 days, did you do ANY work for either pay or profit?","1,2",Worked for either pay or profit in the last 7 days,26,Binary Outcome,Employment,TBIRTH_YEAR < 2002,QUESTION,0,0,0,0,person
12,KINDWORK,Sector of employment,ANYWORK = 1,"Are you employed by government, by a private company, a nonprofit organization or were you self-employed or working in a family business? Select only one answer.","Are you employed by government, by a private company, a nonprofit organization or were you self-employed or working in a family business?",1:05,Type of employer,27,Multiple Choice,Employment,TBIRTH_YEAR < 2002 and ANYWORK = 1,QUESTION,0,0,0,0,person
13,RSNNOWRK,Main reason for not working for pay or profit,ANYWORK = 2,What is your main reason for not working for pay or profit? Select only one answer. - Selected Choice,What is your main reason for not working for pay or profit?,1:13,Main reason for not working for pay or profit,28,Multiple Choice,Employment,TBIRTH_YEAR < 2002 and ANYWORK = 2,QUESTION,0,0,1,0,person
13a,TW_START,Teleworking start due to COVID,All persons born before 2002,"Working from home is sometimes referred to as telework. Did any adults in this household substitute some or all of their typical in-person work for telework because of the coronavirus pandemic, including yourself?  Select only one answer.","Working from home is sometimes referred to as telework. Did any adults in this household substitute some or all of their typical in-person work for telework because of the coronavirus pandemic, including yourself?",1:03,Did adults in household telework because of pandemic,29,Binary Outcome,Employment,TBIRTH_YEAR < 2002,QUESTION,0,0,1,0,household
14,UNEMPPAY,Are you receiving pay for time not working,ANYWORK = 2,Are you receiving pay for the time you are not working? Select only one answer.,Are you receiving pay for the time you are not working?,1:04,Received pay for the time not working,30,Multiple Choice,Employment,TBIRTH_YEAR < 2002 and ANYWORK = 2,QUESTION,0,0,1,0,person
14a,UI_APPLY,UI Applied,All persons born before 2002,"Since March 13, 2020, have you applied for Unemployment Insurance (UI) benefits? Select only one answer.","Since March 13, 2020, have you applied for Unemployment Insurance (UI) benefits?","1,2","Applied for Unemployment Insurance (UI) benefits since March 13, 2020",31,Binary Outcome,Employment,TBIRTH_YEAR < 2002,QUESTION,0,0,1,0,person
14b,UI_RECV,UI Receive,All persons born before 2002,"Since March 13, 2020, did you receive Unemployment Insurance (UI) benefits? Select only one answer.","Since March 13, 2020, did you receive Unemployment Insurance (UI) benefits?","1,2","Received Unemployment Insurance (UI) benefits since March 13, 2020",32,Binary Outcome,Employment,TBIRTH_YEAR < 2002,QUESTION,0,0,1,0,person
14c,TUI_NUMPER,UI How many,Ask Q14c if # adults in household >1. This can be calculated using embedded data= Q7 – Q8 All persons born before 2002,"Including yourself, how many people in your household received Unemployment Insurance (UI) benefits since March 13, 2020? Please enter a number.","Including yourself, how many people in your household received Unemployment Insurance (UI) benefits since March 13, 2020?",1:40,"Number of people in household that received Unemployment Insurance (UI) benefits since March 13, 2020",33,Input Value,Employment,TBIRTH_YEAR < 2002 and THHLD_NUMADLT > 1,NUMERIC,0,0,1,0,household
50,INCOME,Total household income (before taxes),All persons born before 2002,In 2019 what was your total household income before taxes? Selectonly one answer.,In 2019 what was your total household income before taxes?,1:08,Total household income before taxes in 2019,34,Multiple Choice,Employment,TBIRTH_YEAR < 2002,QUESTION,0,1,1,0,household
14d,SSA_RECV,SSA Receive,All persons born before 2002,"Do you currently receive Social Security benefits (Retirement, Disability, or Survivors), Supplemental Security Income (SSI) benefits, or Medicare benefits? Select only one answer.","Do you currently receive Social Security benefits, Supplemental Security Income (SSI) benefits, or Medicare benefits?","1,2","Receives Social Security, Supplemental Security Income, or Medicare",35,Binary Outcome,Social Security,TBIRTH_YEAR < 2002,QUESTION,0,0,1,0,person
14e,SSA_APPLY,SSA Programs Applied,All persons born before 2002,"Did you apply or attempt to apply for Social Security benefits (Retirement, Disability, or Survivors), Supplemental Security Income (SSI) benefits, or Medicare benefits after March 13, 2020? Select only one answer. benefits, or Medicare benefits after March 13, 2020? Select only one answer.","Did you apply or attempt to apply for Social Security benefits, Supplemental Security Income (SSI) benefits, or Medicare benefits after March 13, 2020?","1,2","Apply or attempt to apply for Social Security, Supplemental Security Income, or Medicare after March 13, 2020",36,Binary Outcome,Social Security,TBIRTH_YEAR < 2002,QUESTION,0,0,1,0,person
14f,SSAPGM1,Social Security Programs Applied for,Ask Q14f if Q14e = 1,"What type of benefits did you apply or attempt to apply for since March 13, 2020? Select all that apply.","What type of benefits did you apply or attempt to apply for since March 13, 2020?","<blank>,1","Type of benefits applied for or attempted to apply for since March 13, 2020",37,Select All,Social Security,TBIRTH_YEAR < 2002 and SSA_APPLY = 1,QUESTION,0,0,1,1,person
14f,SSAPGM2,Social Security Programs Applied for,Ask Q14f if Q14e = 1,"What type of benefits did you apply or attempt to apply for since March 13, 2020? Select all that apply.","What type of benefits did you apply or attempt to apply for since March 13, 2020?","<blank>,1","Type of benefits applied for or attempted to apply for since March 13, 2020",38,Select All,Social Security,TBIRTH_YEAR < 2002 and SSA_APPLY = 1,QUESTION,0,0,1,1,person
14f,SSAPGM3,Social Security Programs Applied for,Ask Q14f if Q14e = 1,"What type of benefits did you apply or attempt to apply for since March 13, 2020? Select all that apply.","What type of benefits did you apply or attempt to apply for since March 13, 2020?","<blank>,1","Type of benefits applied for or attempted to apply for since March 13, 2020",39,Select All,Social Security,TBIRTH_YEAR < 2002 and SSA_APPLY = 1,QUESTION,0,0,1,1,person
14f,SSAPGM4,Social Security Programs Applied for,Ask Q14f if Q14e = 1,"What type of benefits did you apply or attempt to apply for since March 13, 2020? Select all that apply.","What type of benefits did you apply or attempt to apply for since March 13, 2020?","<blank>,1","Type of benefits applied for or attempted to apply for since March 13, 2020",40,Select All,Social Security,TBIRTH_YEAR < 2002 and SSA_APPLY = 1,QUESTION,0,0,1,1,person
14f,SSAPGM5,Social Security Programs Applied for,Ask Q14f if Q14e = 1,"What type of benefits did you apply or attempt to apply for since March 13, 2020? Select all that apply.","What type of benefits did you apply or attempt to apply for since March 13, 2020?","<blank>,1","Type of benefits applied for or attempted to apply for since March 13, 2020",41,Select All,Social Security,TBIRTH_YEAR < 2002 and SSA_APPLY = 1,QUESTION,0,0,1,1,person
14g,SSALIKELY,SSA Likely Applied,Ask Q14g if Q14e = 2,"How likely are you to apply for Social Security benefits (Retirement, Disability, or Survivors), Supplemental Security Income (SSI) benefits, or Medicare benefits in the next 12 months? Select only one answer.","How likely are you to apply for Social Security benefits, Supplemental Security Income (SSI) benefits, or Medicare benefits in the next 12 months?",1:04,"Plan to apply for Social Security, Supplemental Security Income, or Medicare in the next 12 months",42,Binary Outcome,Social Security,TBIRTH_YEAR < 2002 and SSA_APPLY = 2,QUESTION,0,0,1,0,person
14h,SSAEXPCT1,Social Security Programs Expected to Apply for,"Ask Q14h if Q14g in (1,2,3)",What type of benefits do you think that you will apply for? Select all that apply.,What type of benefits do you think that you will apply for?,"<blank>,1",Type of benefits expected to apply for,43,Select All,Social Security,"TBIRTH_YEAR < 2002 and SSA_APPLY = 2 and SSALIKELY in (1,2,3)",QUESTION,0,0,1,1,person
14h,SSAEXPCT2,Social Security Programs Expected to Apply for,"Ask Q14h if Q14g in (1,2,3)",What type of benefits do you think that you will apply for? Select all that apply.,What type of benefits do you think that you will apply for?,"<blank>,1",Type of benefits expected to apply for,44,Select All,Social Security,"TBIRTH_YEAR < 2002 and SSA_APPLY = 2 and SSALIKELY in (1,2,3)",QUESTION,0,0,1,1,person
14h,SSAEXPCT3,Social Security Programs Expected to Apply for,"Ask Q14h if Q14g in (1,2,3)",What type of benefits do you think that you will apply for? Select all that apply.,What type of benefits do you think that you will apply for?,"<blank>,1",Type of benefits expected to apply for,45,Select All,Social Security,"TBIRTH_YEAR < 2002 and SSA_APPLY = 2 and SSALIKELY in (1,2,3)",QUESTION,0,0,1,1,person
14h,SSAEXPCT4,Social Security Programs Expected to Apply for,"Ask Q14h if Q14g in (1,2,3)",What type of benefits do you think that you will apply for? Select all that apply.,What type of benefits do you think that you will apply for?,"<blank>,1",Type of benefits expected to apply for,46,Select All,Social Security,"TBIRTH_YEAR < 2002 and SSA_APPLY = 2 and SSALIKELY in (1,2,3)",QUESTION,0,0,1,1,person
14h,SSAEXPCT5,Social Security Programs Expected to Apply for,"Ask Q14h if Q14g in (1,2,3)",What type of benefits do you think that you will apply for? Select all that apply.,What type of benefits do you think that you will apply for?,"<blank>,1",Type of benefits expected to apply for,47,Select All,Social Security,"TBIRTH_YEAR < 2002 and SSA_APPLY = 2 and SSALIKELY in (1,2,3)",QUESTION,0,0,1,1,person
14i,SSADECISN,SSA Application Decision Impact,"Ask Q14i if Q14g in (1,2,3,4,-99)","How has the coronavirus pandemic affected your decision about applying or not applying for Social Security benefits (Retirement, Disability, or Survivors), Supplemental Security Income (SSI) benefits, or Medicare benefits? Select only one answer.","How has the coronavirus pandemic affected your decision about applying or not applying for Social Security benefits, Supplemental Security Income (SSI) benefits, or Medicare benefits?",1:04,"Impact of pandemic on decision to apply for Social Security, Supplemental Security Income, or Medicare",48,Multiple Choice,Social Security,"TBIRTH_YEAR < 2002 and SSA_APPLY = 2 and SSALIKELY in (1,2,3,4,-99)",QUESTION,0,0,1,0,person
19a,EXPNS_DIF,Difficulty with expenses,All persons born before 2002,"In the last 7 days, how difficult has it been for your household to pay for usual household expenses, including but not limited to food, rent or mortgage, car payments, medical expenses, student loans, and so on? Select only one answer.","In the last 7 days, how difficult has it been for your household to pay for usual household expenses, including but not limited to food, rent or mortgage, car payments, medical expenses, student loans, and so on?",1:04,Difficulty of household paying for usual household expenses in the last 7 days,49,Binary Outcome,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,0,household
19b,CHNGHOW1,How did spending or shopping change,All persons born before 2002,"In the last 7 days, which of the following changes have you or your household made to your spending or shopping? Select all that apply.","In the last 7 days, which of the following changes have you or your household made to your spending or shopping?","<blank>,1",Changes to household spending or shopping in the last 7 days,50,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
19b,CHNGHOW2,How did spending or shopping change,All persons born before 2002,"In the last 7 days, which of the following changes have you or your household made to your spending or shopping? Select all that apply.","In the last 7 days, which of the following changes have you or your household made to your spending or shopping?","<blank>,1",Changes to household spending or shopping in the last 7 days,51,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
19b,CHNGHOW3,How did spending or shopping change,All persons born before 2002,"In the last 7 days, which of the following changes have you or your household made to your spending or shopping? Select all that apply.","In the last 7 days, which of the following changes have you or your household made to your spending or shopping?","<blank>,1",Changes to household spending or shopping in the last 7 days,52,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
19b,CHNGHOW4,How did spending or shopping change,All persons born before 2002,"In the last 7 days, which of the following changes have you or your household made to your spending or shopping? Select all that apply.","In the last 7 days, which of the following changes have you or your household made to your spending or shopping?","<blank>,1",Changes to household spending or shopping in the last 7 days,53,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
19b,CHNGHOW5,How did spending or shopping change,All persons born before 2002,"In the last 7 days, which of the following changes have you or your household made to your spending or shopping? Select all that apply.","In the last 7 days, which of the following changes have you or your household made to your spending or shopping?","<blank>,1",Changes to household spending or shopping in the last 7 days,54,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
19b,CHNGHOW6,How did spending or shopping change,All persons born before 2002,"In the last 7 days, which of the following changes have you or your household made to your spending or shopping? Select all that apply.","In the last 7 days, which of the following changes have you or your household made to your spending or shopping?","<blank>,1",Changes to household spending or shopping in the last 7 days,55,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
19b,CHNGHOW7,How did spending or shopping change,All persons born before 2002,"In the last 7 days, which of the following changes have you or your household made to your spending or shopping? Select all that apply.","In the last 7 days, which of the following changes have you or your household made to your spending or shopping?","<blank>,1",Changes to household spending or shopping in the last 7 days,56,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
19b,CHNGHOW8,How did spending or shopping change,All persons born before 2002,"In the last 7 days, which of the following changes have you or your household made to your spending or shopping? Select all that apply.","In the last 7 days, which of the following changes have you or your household made to your spending or shopping?","<blank>,1",Changes to household spending or shopping in the last 7 days,57,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
19b,CHNGHOW9,How did spending or shopping change,All persons born before 2002,"In the last 7 days, which of the following changes have you or your household made to your spending or shopping? Select all that apply.","In the last 7 days, which of the following changes have you or your household made to your spending or shopping?","<blank>,1",Changes to household spending or shopping in the last 7 days,58,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
19b,CHNGHOW10,How did spending or shopping change,All persons born before 2002,"In the last 7 days, which of the following changes have you or your household made to your spending or shopping? Select all that apply.","In the last 7 days, which of the following changes have you or your household made to your spending or shopping?","<blank>,1",Changes to household spending or shopping in the last 7 days,59,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
19b,CHNGHOW11,How did spending or shopping change,All persons born before 2002,"In the last 7 days, which of the following changes have you or your household made to your spending or shopping? Select all that apply.","In the last 7 days, which of the following changes have you or your household made to your spending or shopping?","<blank>,1",Changes to household spending or shopping in the last 7 days,60,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
19b,CHNGHOW12,How did spending or shopping change,All persons born before 2002,"In the last 7 days, which of the following changes have you or your household made to your spending or shopping? Select all that apply.","In the last 7 days, which of the following changes have you or your household made to your spending or shopping?","<blank>,1",Changes to household spending or shopping in the last 7 days,61,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
19c,WHYCHNGD1,Why did household spending change,All persons born before 2002,"In the last 7 days, for which of the following reasons have you or your household changed spending? Select all that apply.","In the last 7 days, for which of the following reasons have you or your household changed spending?","<blank>,1",Reasons why household changed spending in the last 7 days,62,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
19c,WHYCHNGD2,Why did household spending change,All persons born before 2002,"In the last 7 days, for which of the following reasons have you or your household changed spending? Select all that apply.","In the last 7 days, for which of the following reasons have you or your household changed spending?","<blank>,1",Reasons why household changed spending in the last 7 days,63,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
19c,WHYCHNGD3,Why did household spending change,All persons born before 2002,"In the last 7 days, for which of the following reasons have you or your household changed spending? Select all that apply.","In the last 7 days, for which of the following reasons have you or your household changed spending?","<blank>,1",Reasons why household changed spending in the last 7 days,64,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
19c,WHYCHNGD4,Why did household spending change,All persons born before 2002,"In the last 7 days, for which of the following reasons have you or your household changed spending? Select all that apply.","In the last 7 days, for which of the following reasons have you or your household changed spending?","<blank>,1",Reasons why household changed spending in the last 7 days,65,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
19c,WHYCHNGD5,Why did household spending change,All persons born before 2002,"In the last 7 days, for which of the following reasons have you or your household changed spending? Select all that apply.","In the last 7 days, for which of the following reasons have you or your household changed spending?","<blank>,1",Reasons why household changed spending in the last 7 days,66,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
19c,WHYCHNGD6,Why did household spending change,All persons born before 2002,"In the last 7 days, for which of the following reasons have you or your household changed spending? Select all that apply.","In the last 7 days, for which of the following reasons have you or your household changed spending?","<blank>,1",Reasons why household changed spending in the last 7 days,67,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
19c,WHYCHNGD7,Why did household spending change,All persons born before 2002,"In the last 7 days, for which of the following reasons have you or your household changed spending? Select all that apply.","In the last 7 days, for which of the following reasons have you or your household changed spending?","<blank>,1",Reasons why household changed spending in the last 7 days,68,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
19c,WHYCHNGD8,Why did household spending change,All persons born before 2002,"In the last 7 days, for which of the following reasons have you or your household changed spending? Select all that apply.","In the last 7 days, for which of the following reasons have you or your household changed spending?","<blank>,1",Reasons why household changed spending in the last 7 days,69,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
19c,WHYCHNGD9,Why did household spending change,All persons born before 2002,"In the last 7 days, for which of the following reasons have you or your household changed spending? Select all that apply.","In the last 7 days, for which of the following reasons have you or your household changed spending?","<blank>,1",Reasons why household changed spending in the last 7 days,70,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
19c,WHYCHNGD10,Why did household spending change,All persons born before 2002,"In the last 7 days, for which of the following reasons have you or your household changed spending? Select all that apply.","In the last 7 days, for which of the following reasons have you or your household changed spending?","<blank>,1",Reasons why household changed spending in the last 7 days,71,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
19c,WHYCHNGD11,Why did household spending change,All persons born before 2002,"In the last 7 days, for which of the following reasons have you or your household changed spending? Select all that apply.","In the last 7 days, for which of the following reasons have you or your household changed spending?","<blank>,1",Reasons why household changed spending in the last 7 days,72,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
19c,WHYCHNGD12,Why did household spending change,All persons born before 2002,"In the last 7 days, for which of the following reasons have you or your household changed spending? Select all that apply.","In the last 7 days, for which of the following reasons have you or your household changed spending?","<blank>,1",Reasons why household changed spending in the last 7 days,73,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
19c,WHYCHNGD13,Why did household spending change,All persons born before 2002,"In the last 7 days, for which of the following reasons have you or your household changed spending? Select all that apply.","In the last 7 days, for which of the following reasons have you or your household changed spending?","<blank>,1",Reasons why household changed spending in the last 7 days,74,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
20,SPNDSRC1,Sources of income and funds for spending needs,All persons born before 2002,"Thinking about your experience in the last 7 days, which of the following did you or your household members use to meet your spending needs?  Select all that apply.","Thinking about your experience in the last 7 days, which of the following did you or your household members use to meet your spending needs?","<blank>,1",Sources of income and funds for household spending needs in the last 7 days,75,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
20,SPNDSRC2,Sources of income and funds for spending needs,All persons born before 2002,"Thinking about your experience in the last 7 days, which of the following did you or your household members use to meet your spending needs?  Select all that apply.","Thinking about your experience in the last 7 days, which of the following did you or your household members use to meet your spending needs?","<blank>,1",Sources of income and funds for household spending needs in the last 7 days,76,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
20,SPNDSRC3,Sources of income and funds for spending needs,All persons born before 2002,"Thinking about your experience in the last 7 days, which of the following did you or your household members use to meet your spending needs?  Select all that apply.","Thinking about your experience in the last 7 days, which of the following did you or your household members use to meet your spending needs?","<blank>,1",Sources of income and funds for household spending needs in the last 7 days,77,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
20,SPNDSRC4,Sources of income and funds for spending needs,All persons born before 2002,"Thinking about your experience in the last 7 days, which of the following did you or your household members use to meet your spending needs?  Select all that apply.","Thinking about your experience in the last 7 days, which of the following did you or your household members use to meet your spending needs?","<blank>,1",Sources of income and funds for household spending needs in the last 7 days,78,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
20,SPNDSRC5,Sources of income and funds for spending needs,All persons born before 2002,"Thinking about your experience in the last 7 days, which of the following did you or your household members use to meet your spending needs?  Select all that apply.","Thinking about your experience in the last 7 days, which of the following did you or your household members use to meet your spending needs?","<blank>,1",Sources of income and funds for household spending needs in the last 7 days,79,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
20,SPNDSRC6,Sources of income and funds for spending needs,All persons born before 2002,"Thinking about your experience in the last 7 days, which of the following did you or your household members use to meet your spending needs?  Select all that apply.","Thinking about your experience in the last 7 days, which of the following did you or your household members use to meet your spending needs?","<blank>,1",Sources of income and funds for household spending needs in the last 7 days,80,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
20,SPNDSRC7,Sources of income and funds for spending needs,All persons born before 2002,"Thinking about your experience in the last 7 days, which of the following did you or your household members use to meet your spending needs?  Select all that apply.","Thinking about your experience in the last 7 days, which of the following did you or your household members use to meet your spending needs?","<blank>,1",Sources of income and funds for household spending needs in the last 7 days,81,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
20,SPNDSRC8,Sources of income and funds for spending needs,All persons born before 2002,"Thinking about your experience in the last 7 days, which of the following did you or your household members use to meet your spending needs?  Select all that apply.","Thinking about your experience in the last 7 days, which of the following did you or your household members use to meet your spending needs?","<blank>,1",Sources of income and funds for household spending needs in the last 7 days,82,Select All,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,1,household
21a,FEWRTRIPS,Fewer trips to stores,All persons born before 2002,"In the last 7 days, have you taken fewer trips to stores than you normally would have because of the coronavirus pandemic? Curbside pick-up should be counted as trips to stores. Select only one answer.","In the last 7 days, have you taken fewer trips to stores than you normally would have because of the coronavirus pandemic? Curbside pick-up should be counted as trips to stores.","1,2",Fewer trips to stores in the last 7 days than normal before pandemic,83,Binary Outcome,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,0,person
21b,FEWRTRANS,Fewer trips transit,All persons born before 2002,"In the last 7 days, have you taken fewer trips than you normally would have by bus, rail, or  ride-sharing services, like Uber and Lyft, because of the coronavirus pandemic? Select only one answer.","In the last 7 days, have you taken fewer trips than you normally would have by bus, rail, or ride-sharing services, like Uber and Lyft, because of the coronavirus pandemic?",1:03,"Fewer trips by bus, rail, or ride-sharing because of pandemic in the last 7 days",84,Binary Outcome,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,0,person
21c,PLNDTRIPS,Planned trips,All persons born before 2002,"Before the coronavirus pandemic, did you plan to take any overnight trips or trips to places more than 100 miles away in 2020? Include trips you had not made travel reservations or arrangements for in your answer.  Select only one answer.","Before the coronavirus pandemic, did you plan to take any overnight trips or trips to places more than 100 miles away in 2020? Include trips you had not made travel reservations or arrangements for in your answer.","1,2",Plans for overnight trips or trips to places more than 100 miles away in 2020 before the pandemic,85,Binary Outcome,Spending,TBIRTH_YEAR < 2002,QUESTION,0,0,1,0,person
